Zip Code,City,Primary Zone,Zone 1 (%),Zone 2 (%),Zone 3 (%),Zone 4 (%),Total Housing Units,Single-Family Detached,% Single-Family Detached,Other Dwellings,% Other,Median Household Income
75034,Frisco,2,0.0,100.0,0.0,0.0,22307,8822,39.5,13485,60.5,104323.0
75252,Dallas (Far North),2,0.0,100.0,0.0,0.0,14409,6134,42.6,8275,57.4,77147.0
75051,Grand Prairie,2,0.0,100.0,0.0,0.0,14178,8152,57.5,6026,42.5,49485.0
75093,Plano,2,0.0,100.0,0.0,0.0,20701,11836,57.2,8865,42.8,121360.0
75240,Dallas (North),2,0.0,100.0,0.0,0.0,11949,2063,17.3,9886,82.7,51607.0
76248,Keller,2,0.0,100.0,0.0,0.0,14623,12690,86.8,1933,13.2,161383.0
75060,Irving,2,0.0,100.0,0.0,0.0,15399,10789,70.1,4610,29.9,67479.0
76148,North Richland Hills,2,0.0,100.0,0.0,0.0,8358,8218,98.3,140,1.7,88121.0
75205,Dallas (Highland Park),2,0.0,100.0,0.0,0.0,10454,4974,47.6,5480,52.4,180698.0
75062,Irving,2,0.0,100.0,0.0,0.0,18659,8919,47.8,9740,52.2,68692.0
75244,Dallas (North),2,0.0,100.0,0.0,0.0,6417,2935,45.7,3482,54.3,109440.0
76021,Bedford,2,0.0,100.0,0.0,0.0,15399,8487,55.1,6912,44.9,84539.0
75220,Dallas (Northwest),2,0.0,100.0,0.0,0.0,15635,5344,34.2,10291,65.8,56849.0
76040,Euless,2,0.0,100.0,0.0,0.0,12808,5141,40.1,7667,59.9,65698.0
75061,Irving,2,0.0,100.0,0.0,0.0,20055,8312,41.4,11743,58.6,58236.0
75219,Dallas (Oak Lawn),2,0.0,100.0,0.0,0.0,19273,1451,7.5,17822,92.5,86826.0
76005,Arlington,2,0.0,100.0,0.0,0.0,1752,1260,71.9,492,28.1,191250.0
76118,Fort Worth (Northeast),2,0.0,99.4,0.6,0.0,6504,5017,77.1,1487,22.9,89394.0
75211,Dallas (West),2,0.0,96.1,3.9,0.0,24116,14927,61.9,9189,38.1,53614.0
75201,Dallas (Downtown),2,0.0,95.3,4.7,0.0,12836,221,1.7,12615,98.3,102891.0
76244,Keller,2,0.0,92.2,7.8,0.0,25625,20417,79.7,5208,20.3,116568.0
76011,Arlington,2,0.0,92.0,8.0,0.0,11544,2013,17.4,9531,82.6,50200.0
75042,Garland,2,0.0,88.6,11.4,0.0,11908,7851,65.9,4057,34.1,60118.0
76262,Roanoke,2,0.0,88.2,11.8,0.0,15639,11666,74.6,3973,25.4,130524.0
75207,Dallas (Design District),2,0.0,88.0,12.0,0.0,2446,20,0.8,2426,99.2,88655.0
75208,Dallas (Oak Cliff),2,0.0,80.9,19.1,0.0,13207,7586,57.4,5621,42.6,75699.0
75246,Dallas (East),2,0.0,80.3,19.7,0.0,1513,167,11.0,1346,89.0,42429.0
