Zip Code,City,Primary Zone,Zone 1 (%),Zone 2 (%),Zone 3 (%),Zone 4 (%),Zone 5 (%),Total Service (%),Total Housing Units,SF Detached,% SF Detached,Other Dwellings,% Other,Median Income
75068,Little Elm,3,0.0,0.0,23.7,76.3,0.0,100.0,22408,19874,88.7,2534,11.3,119464
75070,McKinney,3,0.0,0.0,35.4,64.6,0.0,100.0,23143,13103,56.6,10040,43.4,101188
75074,Plano,3,0.0,0.0,64.0,36.0,0.0,100.0,18673,10902,58.4,7771,41.6,78441
75075,Plano,3,0.0,0.0,100.0,0.0,0.0,100.0,15640,9356,59.8,6284,40.2,89081
75080,Richardson,3,0.0,0.0,100.0,0.0,0.0,100.0,20303,11469,56.5,8834,43.5,86341
75081,Richardson,3,0.0,0.0,100.0,0.0,0.0,100.0,14675,8252,56.2,6423,43.8,88161
75082,Richardson,3,0.0,0.0,51.1,48.9,0.0,100.0,12799,6780,53.0,6019,47.0,108869
75201,Dallas,3,0.0,0.0,95.7,4.3,0.0,100.0,12836,221,1.7,12615,98.3,102891
75202,Dallas,3,0.0,0.0,100.0,0.0,0.0,100.0,1895,94,5.0,1801,95.0,113843
75204,Dallas,3,0.0,0.0,100.0,0.0,0.0,100.0,22025,1351,6.1,20674,93.9,88142
75205,Dallas,3,0.0,0.0,100.0,0.0,0.0,100.0,10454,4974,47.6,5480,52.4,180698
75206,Dallas,3,0.0,0.0,100.0,0.0,0.0,100.0,25408,4737,18.6,20671,81.4,84784
75207,Dallas,3,0.0,0.0,89.0,11.0,0.0,100.0,2446,20,0.8,2426,99.2,88655
75208,Dallas,3,0.0,0.0,93.8,6.2,0.0,100.0,13207,7586,57.4,5621,42.6,75699
75209,Dallas,3,0.0,0.0,100.0,0.0,0.0,100.0,7466,4115,55.1,3351,44.9,116477
75211,Dallas,3,0.0,0.0,99.8,0.2,0.0,100.0,24116,14927,61.9,9189,38.1,53614
75212,Dallas,3,0.0,0.0,100.0,0.0,0.0,100.0,8951,6012,67.2,2939,32.8,47089
75214,Dallas,3,0.0,0.0,83.2,16.8,0.0,100.0,17058,9509,55.7,7549,44.3,115304
75218,Dallas,3,0.0,0.0,46.2,53.8,0.0,100.0,10356,7426,71.7,2930,28.3,104026
75219,Dallas,3,0.0,0.0,100.0,0.0,0.0,100.0,19273,1451,7.5,17822,92.5,86826
75225,Dallas,3,0.0,0.0,100.0,0.0,0.0,100.0,9699,6196,63.9,3503,36.1,180181
75226,Dallas,3,0.0,0.0,21.1,78.9,0.0,100.0,2910,269,9.2,2641,90.8,67612
75228,Dallas,3,0.0,0.0,11.7,88.3,0.0,100.0,27130,14690,54.1,12440,45.9,55848
75231,Dallas,3,0.0,0.0,100.0,0.0,0.0,100.0,21448,2791,13.0,18657,87.0,50603
75236,Dallas,3,0.0,0.0,33.7,66.3,0.0,100.0,7357,2574,35.0,4783,65.0,45739
75238,Dallas,3,0.0,0.0,100.0,0.0,0.0,100.0,14269,7020,49.2,7249,50.8,71352
75243,Dallas,3,0.0,0.0,100.0,0.0,0.0,100.0,31253,6471,20.7,24782,79.3,47319
75246,Dallas,3,0.0,0.0,87.5,12.5,0.0,100.0,1513,167,11.0,1346,89.0,42429
76006,Arlington,3,0.0,0.0,100.0,0.0,0.0,100.0,13593,2394,17.6,11199,82.4,56312
76010,Arlington,3,0.0,0.0,65.0,35.0,0.0,100.0,20437,8544,41.8,11893,58.2,42571
76011,Arlington,3,0.0,0.0,99.0,1.0,0.0,100.0,11544,2013,17.4,9531,82.6,50200
